content,content_stem,score,target
"Used to be great app, now every voucher also shopee pay and pay for shipping is the worst even if buy expensive item that is using credit card payment. Lazada seems doing better with shipping fee now.","used  great  app,  every  voucher  also  pay  pay  shipping  worst  even  buy  expensive  using  credit  card  payment.  lazada  seems  better  shipping  fee  now.",2,1
Enjoying shopping 😂,enjoying  shopping  face_with_tears_of_joy,5,0
"Use it often, I like it for it's easy to use. I also like the policy of the platform that only release the money to seller after customer is satisfy with the item received.","use  often,  like  easy  use.  also  like  policy  platform  release  money  customer  satisfy  received.",5,0
Stop messing around with the games each day and work on your core online purchasing interface! Everything is crashing. Can't make any purchases. Accessing vouchers and even games tabs will cash the app. This latest update is a total 404 disaster. It's been more than 8 hours since I uninstalled and reinstalled the app. Still many tabs not working and crashing the app. Please fix it.,stop  messing  around  games  day  work  core  online  purchasing  interface!  everything  crashing.  can't  make  purchases.  accessing  vouchers  even  games  tabs  cash  app.  latest  update  total  404  disaster.  8  hours  since  uninstalled  reinstalled  app.  still  many  tabs  working  crashing  app.  please  fix  it.,1,1
"So far so good, every items which i bought here from shopee never fail..its always got the items for what i purchase for..as for delivery,they always txt first b4 heading down to my place..no issued with the delivery....thanks shopee..will shop for more😉","far  good,  every  bought  never  fail..its  always  got  purchase  for..as  delivery,they  always  txt  first  b4  heading  place..no  issued  delivery....thanks  shopee..will  shop  morewinking_face",5,0
Enjoyed shopping with Shopee.,enjoyed  shopping  shopee.,5,0
Now no any comments.,comments.,4,0
Some delivery exceeded extended guarantee time should be auto cancelled. Some waits are too long.,delivery  exceeded  extended  guarantee  time  auto  cancelled.  waits  long.,4,0
Easy to use but you need to be alert and look out for the discount vouchers. It would be good if it is able to detect the discount automatically upon checkout,easy  use  need  alert  look  discount  vouchers.  would  good  able  detect  discount  automatically  upon  checkout,4,0
Thank you shopee. I m really satisfied with your deals and affordable prices. All my purchases exceeded my expectations. I hope this will be with all my future purchases.,thank  shopee.  really  satisfied  deals  affordable  prices.  purchases  exceeded  expectations.  hope  future  purchases.,4,0
Easy to use. Lots of great stuff with awesome price,easy  use.  lots  great  stuff  awesome  price,5,0
Easy and quick.,easy  quick.,4,0
Excited,excited,5,0
"Shopee is the worst e-commerce platform I have ever used. Banned my mother's account for no reason. Emailed customer support and there is no reply. I have heard from my friend that his account was banned for no apparent reason as well. This company is so horrible. Going to uninstall the app and patronize other e-commerce companies like Lazada which does not have this problem as well. Goodbye useless company, I wish I could give it 0 stars.","worst  e-commerce  platform  ever  used.  banned  mother's  account  reason.  emailed  customer  support  reply.  heard  friend  account  banned  apparent  reason  well.  company  horrible.  going  uninstall  patronize  e-commerce  companies  like  lazada  problem  well.  goodbye  useless  company,  wish  could  give  0  stars.",1,1
Good,good,4,0
Easy to navigate and order Pricing is very affordable User friendly,easy  navigate  order  pricing  affordable  user  friendly,5,0
Good place for e shopping,good  place  e  shopping,4,0
The app gets slower the longer you use it. First time coming across such a in-app 'functionality',gets  slower  longer  use  it.  first  time  coming  across  in-app  'functionality',1,1
Poor payment system and caused me unable to make any payments during black Friday. 😡😡😡,poor  payment  system  caused  unable  make  payments  black  friday.  enraged_faceenraged_faceenraged_face,1,1
"The latest update of app is the most unstable and unpleasant one to date. The app keeps switching off itself and in the midst of playing bubbles or candies, the app closes itself. Disappointing.","latest  update  unstable  unpleasant  one  date.  keeps  switching  midst  playing  bubbles  candies,  closes  itself.  disappointing.",1,1
There's some scammers there so I put 4 stars,there's  scammers  put  4  stars,4,0
Good experience.. Just customer service abit lag communicate halfway signal will lost.,good  experience..  customer  service  abit  lag  communicate  halfway  signal  lost.,4,0
Good products and fast delivery. Delivered as ordered.,good  products  fast  delivery.  delivered  ordered.,5,0
Lagging / frozen issue. These days the app lags so badly when you're trying to browse. Even going to the cart loads super long. Had to exit app and go back in to purchase. Basically the lags happen after you click an item and you go to another item through the recommendation and from there it starts to lag and freeze,lagging  /  frozen  issue.  days  lags  badly  trying  browse.  even  going  cart  loads  super  long.  exit  go  back  purchase.  basically  lags  happen  click  go  another  recommendation  starts  lag  freeze,1,1
Found the items i need at the convenience of shopping from home. So far have been very satisfied with the service.,found  need  convenience  shopping  home.  far  satisfied  service.,4,0
Great,great,5,0
"I always use shopee to purchase items, but when I log in today, there is no more daily log in shopee coin, did shopee remove it?","always  use  purchase  items,  log  today,  daily  log  coin,  remove  it?",4,0
"Great apps for online shopping with plenty of deals. Most sellers are very responsive. Just wish the filter option/filter is more refine. When u filter for particular item, i will see items that is not specific to the search but guess that item contain the same wordi somewhere. Otherwise all is good!","great  apps  online  shopping  plenty  deals.  responsive.  wish  filter  option/filter  refine.  u  filter  particular  item,  see  specific  search  guess  contain  wordi  somewhere.  otherwise  good!",5,0
"Used to be my favourite place to online shop. Became worst when they introduce Standard Express - Collection Point. Thought it will make delivery breezier since courier only has to drop them at collection points. Big mistake! My item reached singapore within a week but then it was left in some warehouse for almost A MONTH and they won't look into it UNTIL it passed delivery deadline. & Item tracking system? ""Sorry, tracking number cannot be found!"" Order if you have the patience of an angel.","used  favourite  place  online  shop.  became  worst  introduce  standard  express  -  collection  point.  thought  make  delivery  breezier  since  courier  drop  collection  points.  big  mistake!  reached  singapore  within  week  left  warehouse  almost  month  look  passed  delivery  deadline.  &  tracking  system?  ""sorry,  tracking  number  cannot  found!""  order  patience  angel.",1,1
My app keeps closing unexpectedly since the last 2 updates.,keeps  closing  unexpectedly  since  last  2  updates.,4,0
Good ecommerce app which has wide variety of products and offers competitive prices and features.,good  ecommerce  wide  variety  products  offers  competitive  prices  features.,4,0
Keeps getting the server network error message which keeps me from tracking my parcel!!,keeps  getting  server  network  error  message  keeps  tracking  parcel!!,2,1
Good. I like the ease of usage.,good.  like  ease  usage.,4,0
"Top up my shopeepay balance using paynow. Usually very fast can see amount but surprisingly when I top up recently, the amount is not reflected. Not sure if the amount is lost in transaction. First time this has ever happened. Very risky. Apparently, wanted to buy something during sales but now can't as the team is working on it. Need it urgently, but said they need 2-3 working days to resolve?","top  shopeepay  balance  using  paynow.  usually  fast  see  amount  surprisingly  top  recently,  amount  reflected.  sure  amount  lost  transaction.  first  time  ever  happened.  risky.  apparently,  wanted  buy  something  sales  can't  team  working  it.  need  urgently,  said  need  2-3  working  days  resolve?",1,1
Quite good but still have area to improve,quite  good  still  area  improve,4,0
One of the best platforms i have used for online shopping. Usually can get better deals than retails esp when you buy from shopee malls. i like that the user interface is not confusing and the discount vouchers are very clear in its requirements.,one  best  platforms  used  online  shopping.  usually  get  better  deals  retails  esp  buy  malls.  like  user  interface  confusing  discount  vouchers  clear  requirements.,5,0
Prices are reasonable. Just started ordering and looking to continue sourcing good products.,prices  reasonable.  started  ordering  looking  continue  sourcing  good  products.,4,0
Unable to see the things in my cart.Needed to make a few purchases urgently so that has been inconvenient,unable  see  things  cart.needed  make  purchases  urgently  inconvenient,1,1
"The best thing is I can use my coins to redeem my with purchases. And i can collect coins every day! However, with the new software update, i cannot track my order as no tracking numbers provided","best  thing  use  coins  redeem  purchases.  collect  coins  every  day!  however,  new  software  update,  cannot  track  order  tracking  numbers  provided",3,1
I like shopee app service so good in point and cash rebate hope to have 50% cash rebate in $27,like  service  good  point  cash  rebate  hope  50%  cash  rebate  $27,5,0
Excellent performance thank you shopee,excellent  performance  thank,5,0
"theres smth wrong with my shopee recently... keep prompting error on my page, i cant even check when or where my parcel will be... i cant check my cart either. kinda fustrating , hope you guys could able to solve it asap. thank you.","theres  smth  wrong  recently...  keep  prompting  error  page,  cant  even  check  parcel  be...  cant  check  cart  either.  kinda  fustrating  ,  hope  guys  could  able  solve  asap.  thank  you.",2,1
"3 star for the abundance of deals and promotion. I didn't give it 5 star due to two big problem, 1) its return policy isn't as good as lazada. 2) there are alot of counterfeits. Shopee should have done more to remove sellers who sell counterfeits","3  star  abundance  deals  promotion.  give  5  star  due  two  big  problem,  1)  return  policy  good  lazada.  2)  alot  counterfeits.  done  remove  sell  counterfeits",3,1
"I've had a better experience coming back. BUT It is expedient to test the sellers first. Reviews are a MUST read. 5 stars may not net good written reviews. I still had a seller who sold me a faulty product, but my issue was rectified when I approached another seller for the same product. (this was a software.) All in all, if my most recent order arrives in good shape, I'd keep the 4 star review.","i've  better  experience  coming  back.  expedient  test  first.  reviews  must  read.  5  stars  may  net  good  written  reviews.  still  sold  faulty  product,  issue  rectified  approached  another  product.  (this  software.)  all,  recent  order  arrives  good  shape,  i'd  keep  4  star  review.",4,0
"So far, eazy to buy and communicate with seller. But becareful when it's overseas seller, some faulty products received.","far,  eazy  buy  communicate  seller.  becareful  overseas  seller,  faulty  products  received.",4,0
"Keeps having errors and saying ""opps"". Can't even load the items to buy anything. Saw responses from the app team on the other users' comment which is typical system response but doesn't solve the issue.","keeps  errors  saying  ""opps"".  can't  even  load  buy  anything.  saw  responses  team  users'  comment  typical  system  response  solve  issue.",1,1
"trouble with payment, repeatedly failed for no reason, wasting time (using the App). Only website payment was successful on my recent transaction.","trouble  payment,  repeatedly  failed  reason,  wasting  time  (using  app).  website  payment  successful  recent  transaction.",4,0
Captcha is not working... can't log case thru email function.,captcha  working...  can't  log  case  thru  email  function.,1,1
"The new free shipping voucher is seriously stupid and poorly implemented by shopee. If I meet the free shipping requirement of $45 from one seller, that voucher doesn't apply for those that are $20 from another seller. Now you can't buy your things in one single checkout. What kind of software implementation is this? Now all the free shipping is for show is it on seller page? Your software developers always never think it through and just implemented it without doing some brainstorming work..","new  free  shipping  voucher  seriously  stupid  poorly  implemented  shopee.  meet  free  shipping  requirement  $45  one  seller,  voucher  apply  $20  another  seller.  can't  buy  things  one  single  checkout.  kind  software  implementation  this?  free  shipping  show  page?  software  developers  always  never  think  implemented  without  brainstorming  work..",1,1
It has things I search for And for cheap,things  search  cheap,5,0
It's a great app! But the constant updates are a pain,great  app!  constant  updates  pain,5,0
"Good app with good deals, from fashion to gadgets to supermart, with every types of items to be found in range locally and overseas. Quite a wide variety of choices at reasonable pricings. It's a good and reliable app. Just that some items may take longer than the stipulated time to arrive due to overseas shipping.","good  good  deals,  fashion  gadgets  supermart,  every  types  found  range  locally  overseas.  quite  wide  variety  choices  reasonable  pricings.  good  reliable  app.  may  take  longer  stipulated  time  arrive  due  overseas  shipping.",4,0
Good,good,5,0
"No idea what happened since the last update, but the app lags WORSE than a moving snail and the customer service is TERRIBLE. Completely ruins gameplay for the games and overall user experience.","idea  happened  since  last  update,  lags  worse  moving  snail  customer  service  terrible.  completely  ruins  gameplay  games  overall  user  experience.",1,1
This app very helpfull...thanks,helpfull...thanks,4,0
My prefered online shoping app,prefered  online  shoping,5,0
Laggy at shopee farm especially when it comes to selecting the plant to grow. I am unable to get the plant I want at 12pm now as they will run out after loading :( It used to be immediate whenever I clicked into it in the past.,laggy  farm  especially  comes  selecting  plant  grow.  unable  get  plant  want  12pm  run  loading  :(  used  immediate  whenever  clicked  past.,2,1
App keeps glitching nowadays with oops something went wrong. Works fine on some days.,keeps  glitching  nowadays  oops  something  went  wrong.  works  fine  days.,3,1
"Previously, the app was working just fine. Nowadays. Although buying is working. There is always errors in the vouchers. Preventing me from using any of the voucher I have.","previously,  working  fine.  nowadays.  although  buying  working.  always  errors  vouchers.  preventing  using  voucher  have.",3,1
"Smooth and easy transaction, like the live presentations. Don't need to buy any further vouchers, can't use it for payment...","smooth  easy  transaction,  like  live  presentations.  need  buy  vouchers,  can't  use  payment...",4,0
"Been able to shop most of the things I want from Shopee. It has reasonable pricing. Items are easily found with simple describtion,unlike other online platform where you need specific describtion . Even so, they may state "" items npt found""","able  shop  things  want  shopee.  reasonable  pricing.  easily  found  simple  describtion,unlike  online  platform  need  specific  describtion  .  even  so,  may  state  ""  npt  found""",5,0
Shopeepay vouchers can't be collected despite its alr activated. Shipping vouchers are almost useless lol. Screen is constantly flashing or frozen after using for 15mins or more? App on iPhone was working fine. Cmon improve android please.,shopeepay  vouchers  can't  collected  despite  alr  activated.  shipping  vouchers  almost  useless  lol.  screen  constantly  flashing  frozen  using  15mins  more?  iphone  working  fine.  cmon  improve  android  please.,3,1
Very smooth transaction & lots of varieties products to choose from! 👍,smooth  transaction  &  lots  varieties  products  choose  from!  thumbs_up,5,0
"Edited 1 🌟 lower. Pet game is always stuck at loading 99%. I kept log in log out, uninstall and install. Frustrating!","edited  1  glowing_star  lower.  pet  game  always  stuck  loading  99%.  kept  log  log  out,  uninstall  install.  frustrating!",4,0
It is misleading to put free delivery for purchases over XX amount on almost every item/ vendor page but the truth is that you need a separate voucher for it and the vouchers are limited....,misleading  put  free  delivery  purchases  xx  amount  almost  every  item/  vendor  page  truth  need  separate  voucher  vouchers  limited....,2,1
New update keep having bugs. Like black screen and app crash,new  update  keep  bugs.  like  black  screen  crash,3,1
"I cannot login with my Google account, says I don't have one. I can login on web but does not let me see my past purchases and redirect me to the app, which I cannot use. I cannot login via Chrome either, I have to use either Edge or Safari. I think there is a problem with google credentials. Not sure if I am the only one with this but your Mobile version could be whole so I still get to use Shopee on a phone, else I am stuck to my computer.","cannot  login  google  account,  says  one.  login  web  let  see  past  purchases  redirect  app,  cannot  use.  cannot  login  via  chrome  either,  use  either  edge  safari.  think  problem  google  credentials.  sure  one  mobile  version  could  whole  still  get  use  phone,  else  stuck  computer.",1,1
Apps was well design. Easy to move around and selection is great. I usually check with Shopee 1st before trying others.,apps  well  design.  easy  move  around  selection  great.  usually  check  1st  trying  others.,4,0
More to shop soon✌️✌️✌️✌️,shop  soonvictory_handvictory_handvictory_handvictory_hand,4,0
Like shopping with Shopee. Hugh range of items to select.,like  shopping  shopee.  hugh  range  select.,5,0
"Navigation can be messy, but you'll get used to it after a while. Has an edge over some other e-commerce sites in that its ""coins"" can be used as real cash to offset purchases.","navigation  messy,  get  used  while.  edge  e-commerce  sites  ""coins""  used  real  cash  offset  purchases.",5,0
My go-to shopping app!,go-to  shopping  app!,4,0
Very bad....,bad....,1,1
For past few days app seems to be unusable. Updated app back to normal.,past  days  seems  unusable.  updated  back  normal.,4,0
Sometimes there's connection issues. Drop off once a while. No issue with my other apps,sometimes  there's  connection  issues.  drop  while.  issue  apps,4,0
"The shopee candy redeem store is always fully redeemed even though there's no redemption limit. Even if i have many points, what's the use if i can't redeem. The stupid app now keep crashing say something is wrong. So long until now is still not fixed!","candy  redeem  store  always  fully  redeemed  even  though  there's  redemption  limit.  even  many  points,  what's  use  can't  redeem.  stupid  keep  crashing  say  something  wrong.  long  still  fixed!",2,1
Affordable pricing with wide variety of products and sellers. quick delivery. Will be great if there was more discount given for members who purchase more.,affordable  pricing  wide  variety  products  sellers.  quick  delivery.  great  discount  given  members  purchase  more.,4,0
Slow in loading. Keep hanging. Check in page doesn't have check in coins for me to press collect even! Used to be seamless and easy...,slow  loading.  keep  hanging.  check  page  check  coins  press  collect  even!  used  seamless  easy...,2,1
Error with server...pls fix the issues,error  server...pls  fix  issues,1,1
"Why suddenly got issue with Shoppee app? It keeps prompting me ""back to homepage"" non stop. Can anyone fix the issue asap.","suddenly  got  issue  app?  keeps  prompting  ""back  homepage""  non  stop.  anyone  fix  issue  asap.",2,1
Yest3 b. H. H isllllllrvvvvvvvvvv Kjubh h09lolb h h. H hhhhhh. H. Hh h hhh hhhhhh. H. H. U. Hhh ist DFB hmna647 gv7y b,yest3  b.  h.  h  isllllllrvvvvvvvvvv  kjubh  h09lolb  h  h.  h  hhhhhh.  h.  hh  h  hhh  hhhhhh.  h.  h.  u.  hhh  ist  dfb  hmna647  gv7y  b,2,1
Edit: Used to have minimal issues with it. Now I can't check in to Shopee candy to get the check in bonus,edit:  used  minimal  issues  it.  can't  check  candy  get  check  bonus,2,1
A good platform for both sellers n buyers. EASY INTERFACE.,good  platform  n  buyers.  easy  interface.,5,0
Unable to view shopping cart,unable  view  shopping  cart,1,1
"PG ... Beware of scam coins during gamings Bubbles, Balloon, Spinwheel, etc. Daily 4 hours time wasted on games with programmers incorporated more scams . Preferred buyers are also scammers. Don't trust everything including those Hippocratic messages.","pg  ...  beware  scam  coins  gamings  bubbles,  balloon,  spinwheel,  etc.  daily  4  hours  time  wasted  games  programmers  incorporated  scams  .  preferred  buyers  also  scammers.  trust  everything  including  hippocratic  messages.",1,1
"Im honestly so fed up with this app. When you try to look through items in your cart, and youre scrolling down, it just glitches and sends you back to the top so you can never reach to the bottom of your cart.","im  honestly  fed  app.  try  look  cart,  youre  scrolling  down,  glitches  sends  back  top  never  reach  bottom  cart.",1,1
"I always get this error when I make payment via Google pay "" Google pay Not available please try again later or select another payment method"". But in actual my payment has always been successful","always  get  error  make  payment  via  google  pay  ""  google  pay  available  please  try  later  select  another  payment  method"".  actual  payment  always  successful",3,1
My search bar is missing!!???,search  bar  missing!!???,1,1
Shopping made easy,shopping  made  easy,5,0
Great!,great!,5,0
User friendly and reliable app.,user  friendly  reliable  app.,5,0
Shoppee has been doing a great job. I started by using it on my son's phone and I loved it so much that I installed it on my own. The products delivered are the exactly identical to the pictures. 100% trustworthy. Totally recommend.,great  job.  started  using  son's  phone  loved  much  installed  own.  products  delivered  exactly  identical  pictures.  100%  trustworthy.  totally  recommend.,5,0
This app is not friendly at all. Having a hard time locating the Me button to track my orders. Will only use this platform if left with no choice. Update: Still not working despite developer's message that this has been fixed. The home page still does not show the Me button. I'll downgrade to zero stars if that's possible lol. Update 2: gotta uninstall and reinstall before the main menu at the bottom appears lol. Update 2 Dec 22: App is now quite solid. Upgrading it to 4*,friendly  all.  hard  time  locating  button  track  orders.  use  platform  left  choice.  update:  still  working  despite  developer's  message  fixed.  home  page  still  show  button.  i'll  downgrade  zero  stars  that's  possible  lol.  update  2:  gotta  uninstall  reinstall  main  menu  bottom  appears  lol.  update  2  dec  22:  quite  solid.  upgrading  4*,4,0
So far i have a good experience in using this apps. Things i need i bought here in shopee sg. The delivery service they use is very porfessional and they inform me if they deliver the item in front of my door. Hope to have more item in the future at lower price. Thanks and keep up the good work.,far  good  experience  using  apps.  things  need  bought  sg.  delivery  service  use  porfessional  inform  deliver  front  door.  hope  future  lower  price.  thanks  keep  good  work.,5,0
Unable to make payment,unable  make  payment,1,1
Every time the games hang. Then eat up the chance,every  time  games  hang.  eat  chance,4,0
Most things available,things  available,4,0
Genuine savings but to many sales options going at one time making unfriendly to users.,genuine  savings  many  sales  options  going  one  time  making  unfriendly  users.,3,1
"Useful but lately it has been SUPER laggy. So cluttered a UI and so slow and unresponsive. Can't even blame my phone for loading it slowly, the lag only occurs on Shopee... I don't experience similar lags with other competitor apps.","useful  lately  super  laggy.  cluttered  ui  slow  unresponsive.  can't  even  blame  phone  loading  slowly,  lag  occurs  shopee...  experience  similar  lags  competitor  apps.",2,1
Something is wrong with the app. Pls see all the recent reviews. I cannot access anything or even check on my orders.,something  wrong  app.  pls  see  recent  reviews.  cannot  access  anything  even  check  orders.,1,1
Been buying nearly everything on Shopee. Like the convenience and savings with vouchers and cashback. Shipping fee is affordable and often free. Shopee Pay cashback is the best! Saves so much money just by tapping and buying whatever you would have bought anyway. Customer service is generally efficient. However the supermarket's range of groceries and common/popular brands(in SG) need to be expanded so sometimes I have to shop elsewhere for grocery.,buying  nearly  everything  shopee.  like  convenience  savings  vouchers  cashback.  shipping  fee  affordable  often  free.  pay  cashback  best!  saves  much  money  tapping  buying  whatever  would  bought  anyway.  customer  service  generally  efficient.  however  supermarket's  range  groceries  common/popular  brands(in  sg)  need  expanded  sometimes  shop  elsewhere  grocery.,5,0
"lousy platform, going downwards. Scammer return shopeepay money","lousy  platform,  going  downwards.  scammer  return  shopeepay  money",1,1
"Hardly to go shopping with the long working hours and my working timing is same with shopping opening and close timing... With Shopee I am so great, I can shop freely and no need to worried crowded and the virus issue... I can grab even cheaper rate in Shopee. Easily buy what I need and so far I have a happy and enjoy with it. The games on it also give me some credit for next purchase.","hardly  go  shopping  long  working  hours  working  timing  shopping  opening  close  timing...  great,  shop  freely  need  worried  crowded  virus  issue...  grab  even  cheaper  rate  shopee.  easily  buy  need  far  happy  enjoy  it.  games  also  give  credit  next  purchase.",4,0
"Shopee has been a great app for online puchases, have not been scammed once. Even got refunded for faulty product. The app makes it fun with games that change from time to time with prizes to be won such as monetary vouchers for different category products.","great  online  puchases,  scammed  once.  even  got  refunded  faulty  product.  makes  fun  games  change  time  time  prizes  monetary  vouchers  different  category  products.",5,0
"Was happy with the app, still ineedto do return... Simply put.. do not use the app help desk agent.. substandard. Wanted to help me but don't even know how the updated app look like sent some some old version app page.. shame on them. contact them for help through Facebook age .. At lease they are better than StarHub .. and still manage to help.. but....looks like never buy from small seller.. they tend to be whithhold products detail. After 1 and half hr I can finally submit my return info.wt..","happy  app,  still  ineedto  return...  simply  put..  use  help  desk  agent..  substandard.  wanted  help  even  know  updated  look  like  sent  old  version  page..  shame  them.  contact  help  facebook  age  ..  lease  better  starhub  ..  still  manage  help..  but....looks  like  never  buy  small  seller..  tend  whithhold  products  detail.  1  half  hr  finally  submit  return  info.wt..",4,0
Just made a purchase a few days ago and was working awesome consistently until now. Nothing shows on my account and cart cannot load. What is going on Shopee?,made  purchase  days  ago  working  awesome  consistently  now.  nothing  shows  account  cart  cannot  load.  going  shopee?,1,1
Deals was better than other apps online found in sg. Various varieties to choose from. Some deals are better when during promotion. Easy to navigate. Navigate on refund very straight forward. The only issue is return funding tk awhile. Overall the exp.using the shopee aps is gd.,deals  better  apps  online  found  sg.  various  varieties  choose  from.  deals  better  promotion.  easy  navigate.  navigate  refund  straight  forward.  issue  return  funding  tk  awhile.  overall  exp.using  aps  gd.,5,0
"Customer support is abysmal even for platinum members. App refuses to auto cancel orders as per Shopee policy and I still have to reach out to customer support. Happened twice. Good place to buy things, just take note there's almost no buyer protection at all.","customer  support  abysmal  even  platinum  members.  refuses  auto  cancel  orders  per  policy  still  reach  customer  support.  happened  twice.  good  place  buy  things,  take  note  there's  almost  buyer  protection  all.",2,1
"This app has become so laggy over the few months that it's affecting user experience. At times, it would take 10-30 seconds for the page to be responsive. Can your team do something about it?","become  laggy  months  affecting  user  experience.  times,  would  take  10-30  seconds  page  responsive.  team  something  it?",2,1
Love the app. Have been using it a lot. But one recommendation is to have an ability to see orders based on purchase and sort by date and not by seller because we cart things together and buy.,love  app.  using  lot.  one  recommendation  ability  see  orders  based  purchase  sort  date  cart  things  together  buy.,4,0
"used to be good. lately having problems uploading receipts to the app, i had to transferred the receipt photos to pc & then use IE/chrome to upload all my receipts. this is frustrating!!","used  good.  lately  problems  uploading  receipts  app,  transferred  receipt  photos  pc  &  use  ie/chrome  upload  receipts.  frustrating!!",2,1
"The shopping part of the app is great, works fine. But I'm irritated as heck with the Shopee Candy game; lives don't reset as they are supposed to, games vrash midway and lives are not refunded, some levels are impossible to complete without paud boosters etc etc. Well that's CX for you, we are a fickle lot. Fix these bugs, and you get 5 stars.","shopping  part  great,  works  fine.  i'm  irritated  heck  candy  game;  lives  reset  supposed  to,  games  vrash  midway  lives  refunded,  levels  impossible  complete  without  paud  boosters  etc  etc.  well  that's  cx  you,  fickle  lot.  fix  bugs,  get  5  stars.",2,1
Items that i need can be found easily,need  found  easily,4,0
"Really really really bad shopping experience out of all the platform ive used. I'll steer clear away from this unhelpful, the design is unintuitive to customers needs and the customer service hotline takes ages to get and even then, you might not get answers.","really  really  really  shopping  experience  platform  ive  used.  i'll  steer  clear  away  unhelpful,  design  unintuitive  customers  needs  customer  service  hotline  takes  ages  get  even  then,  might  get  answers.",1,1
"Hi, I've been using shopee for a long time now but recently the Daily Check-IN coins feature seems to have been disabled in android 12 operating system? I dont see it anymore in my S22 phone.","hi,  i've  using  long  time  recently  daily  check-in  coins  feature  seems  disabled  android  12  operating  system?  dont  see  anymore  s22  phone.",2,1
Very simple n easy use platfotm to buy thing.. and the item price is cheaper compare with market..,simple  n  easy  use  platfotm  buy  thing..  price  cheaper  compare  market..,4,0
Wonderful dealing.,wonderful  dealing.,5,0
Most of the time the description meets the product when it arrives. It's unfortunate that delivery takes longer than expected due to the Zero Covid policy.,time  description  meets  product  arrives.  unfortunate  delivery  takes  longer  expected  due  zero  covid  policy.,4,0
Shopee is always the number one choice for purchase. Items always well packed Nd received in fast and good condition.,always  number  one  choice  purchase.  always  well  packed  nd  received  fast  good  condition.,4,0
"App is really user-friendly and easy to use! The interface is not cluttered at all unlike the other shopping apps I've tried. Additionally, I usually like to do price comparisons before making purchases, and I almost always find Shopee to have the best deals. You can also be reassured that you're buying authentic products when you buy from sellers labelled with ""Shopee Mall"". Highly recommend this app!:)","really  user-friendly  easy  use!  interface  cluttered  unlike  shopping  apps  i've  tried.  additionally,  usually  like  price  comparisons  making  purchases,  almost  always  find  best  deals.  also  reassured  buying  authentic  products  buy  labelled  ""shopee  mall"".  highly  recommend  app!:)",5,0
By using this app is like burning my phone. Temp of phone shoot up pretty fast after awhile of online shopping,using  like  burning  phone.  temp  phone  shoot  pretty  fast  awhile  online  shopping,3,1
Good experience. My favourite shopping app now. Although sometimes the delivery partner they use is not so efficient.,good  experience.  favourite  shopping  now.  although  sometimes  delivery  partner  use  efficient.,4,0
Nice app. Very stable and one can find endless products . Usually very reliable delivery too.,nice  app.  stable  one  find  endless  products  .  usually  reliable  delivery  too.,4,0
"If my purchases bound back, at least my money can be bank in shoppee. The delivery services are quite good. Courier person can get approval to leave parcels at premises ot my home, it good idea. There are occasionally flash sale which made more saving. Lot of fabulous brands to choose.","purchases  bound  back,  least  money  bank  shoppee.  delivery  services  quite  good.  courier  person  get  approval  leave  parcels  premises  ot  home,  good  idea.  occasionally  flash  sale  made  saving.  lot  fabulous  brands  choose.",5,0
My first time shopping with Shopee. Happy to reveived item in short time. Hassle free. Will shop again.,first  time  shopping  shopee.  happy  reveived  short  time.  hassle  free.  shop  again.,4,0
Fast delivery and mostly authentic products,fast  delivery  mostly  authentic  products,5,0
Well built!,well  built!,5,0
"disabled all notifications other than order updates, chat, wallet and finance updates but still getting non related notifications","disabled  notifications  order  updates,  chat,  wallet  finance  updates  still  getting  non  related  notifications",2,1
Convenient online shopping if you can be always at home to receive your item. There doesn't seem to have option for pop station collection,convenient  online  shopping  always  home  receive  item.  seem  option  pop  station  collection,4,0
"cannot transfer funds back to bank account. deposit money should be allowed and able to transfer back to bank. if other platforms have this option, why cant shopee?","cannot  transfer  funds  back  bank  account.  deposit  money  allowed  able  transfer  back  bank.  platforms  option,  cant  shopee?",3,1
The app got stuck,got  stuck,1,1
My fav shopping app BUT its always lagging and hanging.,fav  shopping  always  lagging  hanging.,4,0
Horrible. SHOPEE PRIZES IS AN ABSOLUTE SCAM. Played it using at least 150 shopee coins and was supposed to get a facial mask for free (through a voucher to redeem the product) but the seller not only cancelled the order but INCREASED THE PRICE SO I COULD NO LONGER USE THE VOUCHER. Customer service was so unhelpful as well.,horrible.  prizes  absolute  scam.  played  using  least  150  coins  supposed  get  facial  mask  free  (through  voucher  redeem  product)  cancelled  order  increased  price  could  longer  use  voucher.  customer  service  unhelpful  well.,1,1
Ok,ok,4,0
"Did two small transactions on 18Jan2020 just testing. Reliable, fast. Have been buying more on Shopee. Fuss free easy to navigate and shop and pay. I am just confused over the many messages which I don't read all.","two  small  transactions  18jan2020  testing.  reliable,  fast.  buying  shopee.  fuss  free  easy  navigate  shop  pay.  confused  many  messages  read  all.",5,0
