username,content,score,thumbs_up_count,at,reply_content,replied_at,sort_order,app_id,target
Aurelius,"Do no USE Paynow to topup into their ShopeePay wallet. When you make a valid topup, they have issues and your wallet doesn't reflect the topup amount. They then will tell you they will need 3 working days to check and upon checking take another 5 working days to credit the topup amount. Some users waited for a week and still facing this issue.",1,3,2022-07-19 21:41:08,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.

",2022-07-19 22:44:58,most_relevant,com.shopee.sg,1
Rahimah Jasmin,The app freezes after I just updated the new version today. Can't use the app at all,1,0,2022-09-08 21:16:05,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.

",2022-09-08 22:12:56,most_relevant,com.shopee.sg,1
Gokulsharma 7777,"Customer service not satisfied, I cancel my order but never transfer my refund Money. 2 Month already. I give half star Only. Don't buy This app.",1,1,2022-08-29 15:13:42,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.

",2022-07-19 19:44:15,most_relevant,com.shopee.sg,1
Jona Chan,"Shoppee express is the worst courier delivery ever, I got two times failed delivery despite me being at home the whole day on the very first delivery. They didn't message or watsapp me, ring my door bell at all. Asked for pop station but apparently it's also very difficult for them to do so. U guys can go ahead using shoppee but never engage their courier services.",1,20,2021-12-20 16:22:59,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you",2021-12-20 17:16:46,most_relevant,com.shopee.sg,1
A Google user,"Please avoid using this platform especially if you are doing big purchases. I felt like being scammed by them. They gave huge shopee coins promotion but the validity of the coins are only a mere 2 months. During which, all other purchases to use these earned coins are limited in quantity. They do not allow the usage of all the coins one shot. They are not really an essentials only store where you can spend regularly. So end up the coins will just be forfeited. I lost $60 worth of coins.",1,150,2020-04-04 11:10:05,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2020-04-04 12:07:31,most_relevant,com.shopee.sg,1
Ryan Teo,"Unprofessional, lousy and pathetic refund service provided. The courier that was arranged by Shopee (Ninja Van) kept delaying the item pick up and even refused to collect the item as they simply quote ""Shopee did not inform us that it is an oversized item"". I waited for an entire week and not only that no refunds were being processed, Shopee customer service agents pushed away all responsibilities and the only word that can express is ""Sorry"". Totally absurd! I would have rated them 0 star.",1,4,2021-07-01 22:50:05,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope to get another chance to earn that 5 stars from you.",2021-07-01 23:10:55,most_relevant,com.shopee.sg,1
Andrew Teo,"Notifications settings don't work and get very annoying. I still get spam offers and ""lucky draw"" notifications from the app even when I have turned off everything except chat and order update notifications.",1,1,2021-06-07 16:26:31,,,most_relevant,com.shopee.sg,1
A Google user,"The app is so slow after the last update. Sometimes, I got blank search display and have to restart the app to get the result. Really bad user experience.",1,8,2019-12-21 11:13:44,"Hey, 

Thank you for your review and feedback. 

We are so sorry that you have had to come through challenges while using our app.

 As we would like to look into your feedback further, we really appreciate if you could fill up this form at https://help.shopee.sg/sg/s/contactus
So that besides improving our service, we will be able to make you happ",2019-12-21 13:16:44,most_relevant,com.shopee.sg,1
A Google user,Not nice at all. Been trying to get an item for past 1 week plus. 2 sellers never send on shipping dates and totally unresponsive. Total waste of time better to stick back to Amazon.,1,1,2020-04-16 15:28:37,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2020-04-16 16:53:35,most_relevant,com.shopee.sg,1
L L Ng,"Shopee has recently changed the terms for Shopee Rewards 10% cashback vouchers for members to be for ShopeePay only and no more for all payment methods(credit cards, PayNow, ShopeePay). Reason given is that Shopee is moving towards ShopeePay. This means that as a member, you may be forced to use ShopeePay if you want the benefits. So if you intend to stick to using PayNow or credit/debit cards in future, then this online shopping platform may not be so beneficial for you.",1,0,2022-02-22 18:14:32,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you",2022-02-22 18:50:50,most_relevant,com.shopee.sg,1
Hans Mok,"After last update, the app keep show >>something went wrong << & keep refer back to Main menu....",1,1,2022-08-31 13:29:16,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2022-08-31 15:05:40,most_relevant,com.shopee.sg,1
A Google user,"DISGUSTING shopping experience at Shopee SG. Received wrong items from same seller twice, raised a return/refund request as the seller insisted that I need to send the items back to Shopee office. Sought help from Shopee CS, pacified me by saying they will help me resolve this, end up the verdict is the same (go to SingPost, label etc. and go through all the hassle to send the items back to their office). Buyers beware, they will side their sellers regardless whose fault it was. Buyers beware.",1,0,2019-12-26 19:51:53,"Hey, 

Thank you for your review and feedback. 

We are so sorry that you have had to come through challenges while using our app.

 As we would like to look into your feedback further, we really appreciate if you could fill up this form at https://help.shopee.sg/sg/s/contactus

so that besides improving our service! 🙇‍♂️",2019-12-26 20:50:26,most_relevant,com.shopee.sg,1
WT,"Horrible and frustrating experience. As a buyer, items are taking so long (more than a week) to ship out from supposed endorsed ""Mall"" sellers. As a seller, listings keeps getting suspended for irrelevant reasons. Seems like the reviewers are just suspending items for fun. Update 7 Jan: Really hate Shopee's unhelpful customer service and poor shipping policies. Single request is pushed around for over a week with repetitive template advice. Simply ridiculous.",1,9,2021-01-07 20:46:45,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2021-01-07 21:47:07,most_relevant,com.shopee.sg,1
KK Law,"No reply from customer service, I have over $50 stuck with shopee!",1,1,2022-12-21 12:03:20,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.",2022-12-21 13:19:59,most_relevant,com.shopee.sg,1
Jass Lim,The bad experience app that I come across. The delivery that always the worst case!!! Always leave the item without informing don't even take a picture or send text to informed. You must go in to the app to check your item on yourself!!! Advice thought buyer nowadays more app to choose with better serving and better customer service that can settled your issues where you can chat too. Cause at here you will never find a right way. Think twice before you guy purchase. Strongly not recommended!!,1,26,2021-09-15 12:02:31,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you",2021-09-15 12:31:04,most_relevant,com.shopee.sg,1
Jaz Moh,Lousy app... My list of Collection Point always empty. Or located Overseas. I check my phone location setting is working well. Feedback to the management but NO REPLY. Disappointed,1,1,2022-07-27 19:15:23,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.

",2022-07-27 19:59:59,most_relevant,com.shopee.sg,1
Yu E,"Extremely disappointing. Signed up on 3 May 2020. Welcome gift couldn't be redeemed, fine. However, voucher for my first purchase also couldn't be used so I sought help. Shopee Live chat said they would escalate the issue but didn't get back. On 6 May, i wrote in again. Only on 19 May night was someone assigned to help. After i replied with the voucher error message, they said i am permanently limited because of 'activities' and this ban non-appealable. I didn't even do anything. Amazing.",1,2,2020-05-21 23:45:33,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.",2020-05-22 08:17:54,most_relevant,com.shopee.sg,1
A Google user,Disappointed for local (home delivery) not improve the service. Now become downgrade the service. Local delivery more than a week to receive. (but shopee write local delivery will 1-3 working days). I have most of the times use this app to purchase my online items. Last time very good. But now the delivery is very bad. Local seller same day handover the item to (home delivery company) but I know don't why the delivery company keep more then 5 days in they store.If improved i will 5 star.,1,3,2020-04-28 00:29:15,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2020-04-28 09:04:30,most_relevant,com.shopee.sg,1
Arulambikai Veluppillai,this app haves too many ads this is terrible,1,0,2022-12-10 10:21:58,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.

",2022-12-10 11:59:29,most_relevant,com.shopee.sg,1
Demeter Wang,"hey your app has been problematic for days. I keep deleting and redownloading it. what's going on. for example if I click on an item to review or my cart or try to open the app here it says ""Oops something went wrong we are looking into it."" 🙄",1,4,2022-05-25 11:11:28,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2022-05-25 12:34:38,most_relevant,com.shopee.sg,1
Iwan (stlzack09),"Bad seller, bad agents, bad delivery courier! Seller selling broken item, need to pay more than half of the item price to fix, agents keep saying wait, gone missing without updates for more than 2 weeks, keep closing and open new case saying it auto close by system. Delivery gone missing and dont even bother to update status. Experience gone bad to worse! What a joke",1,13,2021-10-28 22:05:27,,,most_relevant,com.shopee.sg,1
Khad B.,"Past month (may 2022), app is very slow to load. Many errors on payment page, page unable to load and chat with agent is not really helpful. Frustrating. Dont know what happened. App is annoying to use..",1,1,2022-05-28 21:39:37,"""Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.""

",2022-05-28 21:56:47,most_relevant,com.shopee.sg,1
Terrence Mah,"Horrible customer service. The support team is diverting the inquiry from one agent to another. I have received messages from more than 6 different person over 12 days. And sometimes they don't reply at all unless I send a follow up email after few days. Their tactic is to reply your message with standard template, and asking for same information again and again - order ID. We call this dirty tactic: ""confuse if you cannot convince"".",1,5,2020-08-22 11:28:34,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect. At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.",2020-08-22 12:01:15,most_relevant,com.shopee.sg,1
Kitsuneko Ying,"What a load of rubbish. I tried every way to search ""Diamond Painting"", splitting ""Diamond"", ""Painting"", ""Paint"", and all other combination only to give me ""NO PRODUCTS FOUND"". And then by some luck I found a product and guess the title? ""DIAMOND PAINTING"", so they do sell those in shopee, just that you can't search for it. Will not recommend this rubbish app.",1,4,2020-09-09 19:56:28,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect. As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2020-09-09 20:10:56,most_relevant,com.shopee.sg,1
Kenn Tan,"Was my go-to app for online purchases. However the recent changes mean they are less competitive, supermarket items oos are not replaced for a long time, and there's more glitches that don't get fixed quickly",1,0,2022-05-22 14:05:22,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.
",2022-05-22 14:41:46,most_relevant,com.shopee.sg,1
Choo Boon Linn,"Lagged & glitch time. 'Claim' button for new user voucher can't be clicked, instead navigated to free welcome gifts pg. And no matter which gift you've selected, it will pop up an error when you're trying to checkout. Contacted customer service, but seems like the service is not as prompt (still ok, but he said need to contact the related team to resolve). Issue like this can easily be resolved & prevented, the tech team is probably weak. They could also just give code for us to manually apply.",1,9,2021-03-20 15:06:54,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2021-03-20 16:02:22,most_relevant,com.shopee.sg,1
Niko Juang,"Gifting the new users with the voucher they cannot use. When you want to use it, it said the promotion cannot be redeemed, even you haven't made any purchase before. Clearly a scam way to gain new user. Not to mention the customer services are really bad in solving issues. Lazada is way better.",1,1,2022-05-11 17:47:12,,,most_relevant,com.shopee.sg,1
Doreen Tan,"Cannot load Shopee Pets after the auto update, kept showing connection problem regardless of using WiFi or 4G",1,4,2022-10-07 10:54:59,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.

",2022-10-07 11:30:19,most_relevant,com.shopee.sg,1
EL Crypto12,"Shopee getting worser everyday, no wonder they are losing money & have to retrench staff. Recently keeps spamming my email telling me I have a chat waiting when my friend waters my plant. I've already turned off email notifications in my settings but I keep getting spammed. No choice but to completely block all emails from Shopee. Great job Shopee, with this sort of standard, u wait a thousand years also cannot be profitable.",1,1,2022-09-23 07:31:38,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.",2022-09-23 08:02:57,most_relevant,com.shopee.sg,1
Samson Ho,Updated yesterday. After that every page crashed and returns to home page.,1,2,2022-08-30 13:31:41,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2022-08-30 15:07:34,most_relevant,com.shopee.sg,1
Earth Elements,It's getting more and more laggy everytime when I try to scroll. The user experience is getting worse as the months goes. Your 5stars will be earned when the bugs are fixed. It speaks for itself. Users are looking forward to the improved version.,1,1,2022-04-02 22:14:52,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.
",2022-04-07 00:23:36,most_relevant,com.shopee.sg,1
E L,Why the back button on the phone isn't working? Simple thing like this also cannot do properly,1,23,2022-09-05 00:25:31,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2022-09-05 08:45:21,most_relevant,com.shopee.sg,1
Joel Chew,"Used to be good app for shopping. Now full of bugs and customer service does not even help to resolve your problem. Example, simple problem of seller sending wrong item but unable to exhange. Have to return and refund and then repurchase at much higher price after sale.",1,4,2022-06-26 14:39:53,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you",2022-06-26 16:05:48,most_relevant,com.shopee.sg,1
A Google user,"I was using shopee for almost a year and i was quite happy initially. However, this time is really disappointing. Shopee SG app only have hotline & chat available, but hotline is always out no one pick up, & chat service is not able to solve prob, is like talking to a robot. No email add provided. I have repeating payment prob, price changed as agreed n approved by seller, but unable to make payment. This persist 2 weeks, no solution fr cust service",1,8,2019-10-01 15:40:07,,,most_relevant,com.shopee.sg,1
A Google user,"Was referred by a friend using her referral code. However when the code didn't work, I contacted them through email. Response was quick but no solution was given. Only explanation was, they detected some suspicious activities. Felt short changed and deleted the app.",1,0,2019-03-22 13:42:11,,,most_relevant,com.shopee.sg,1
Sam,"I tried to top up about 1100 SGD into shopee pay. Deduct from bank account, but the transaction failed and my shopee pay wallet balance did not change. I contacted support and they said it would be refunded within 3 working days. Waited, still nothing. I had to chase them until they finally tell me it's because I need to verify ic. I do it, still nothing. Staff all act very nice, but never get anything done. They don't tell you what u need to know. Just robot answer. Never say by what date refun",1,2,2022-07-19 20:12:16,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.

",2022-07-19 22:41:29,most_relevant,com.shopee.sg,1
Lynda Chua,"Mobile app is not working, items in cart, my profile & coins are gone, and message is ""feature not availabe"" when trying to assess to cart, for games, message is ""connection issue"", similar problem even trying to use data to cart out.",1,0,2022-07-25 00:22:18,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.

",2022-07-25 01:18:34,most_relevant,com.shopee.sg,1
Smosh Buscus,"I had a problem with my ShopeePay when I top-up and my ShopeePay did not show despite my money being deducted. I joined the queue and waited 1hr+ for my turn. Suddenly the app says glitches and shows that someone is contact the agent and I was 5th on the line, however now I was suddenly out of the queue. Waited 1hr+ for nothing when I had a genuine problem.",1,1,2022-07-27 21:16:32,,,most_relevant,com.shopee.sg,1
Sharmaine Tan,I have read all my notifications but it still show numbers that I'm not read. Please help.,1,0,2022-08-28 05:41:51,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you",2022-08-28 08:05:06,most_relevant,com.shopee.sg,1
Golden Winstar,"Join as a seller with Shopee. Almost every order, always problem with JNT pick up, either no show for up to 4 days or never send parcel to customers at all. End up, our image as seller is being marred because of their slacko service! Many orders being cancelled or refunded and our items which was supposed to be returned, not received at all! No selection to use our own courier or mail. Only their own appointed Courier. No changes made even after numerous complaints made! Such a disappointment!",1,5,2021-06-15 19:18:54,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you",2021-06-15 20:09:03,most_relevant,com.shopee.sg,1
JiHyun Lee,"Horrible, wanted to get the flash Sale items, set reminder around 6PM. My Samsung Galaxy Note20 Ultra 5G didn't get any notification regarding the upcoming sale upon, and only upon opening the app around 9PM, to check on my order, it then pop up notification saying the items will be going on sale in the next 3 minutes, when it's ALL SOLD OUT. Please fix this, migrated from Qoo10 as it's way user-friendly than most online shopping platform, but if problem persist, will delete my account.",1,16,2021-10-31 20:31:27,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2021-10-31 21:06:04,most_relevant,com.shopee.sg,1
Lai Ping Loh,Please DO NOT entrust a single cent to Shopee Pay. This company has serious IT issues in my opinion. The Shopee Pay app deducted money from the wallet after I've removed payment amount and 'payment failed' message. The customer service paid lip service promising refund within 4 working days after investigation that found the error. The refund never materialised and they are so incompetent as to redirect the case back into customer service mode ALL OVER again like there's no continuation!,1,2,2022-03-31 19:50:06,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.",2022-03-31 21:14:30,most_relevant,com.shopee.sg,1
Randolph Vega,"I'm new to e-commerce. The delievery for my orders is always unsuccessful, so tiring to keep waiting for them to just get unsuccessful and it returns back to the seller. I'd rather go out to buy, than to anxiously wait for the order to come successful.",1,5,2022-01-24 09:54:47,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you",2022-01-24 10:31:25,most_relevant,com.shopee.sg,1
siewling khoo,Keep having connection error eventhough there is nothing wrong with my connection. Cannot water my plant. Laggy and everything hangs. Happened very often nowadays even with the latest update. Too many bugs.,1,1,2021-04-27 17:09:01,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2021-04-27 18:05:42,most_relevant,com.shopee.sg,1
Eirolf Jr,Your app is getting worst and worst! Lately you keep on banning and limiting an account with no definite reasons. I dont know if it is a bug on your app or it is intentional so you can get all the money that some user have still in their shopee pay balance. I dont think a single purchase of discounted digital goods can be considered a voucher abuse. Please shopee enlighten us on this matter and restored all the account that you have limited. Or this will reach into the authority.,1,2,2022-08-31 18:54:59,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2022-08-31 19:14:06,most_relevant,com.shopee.sg,1
Max Boh,"Alot of ninja patterns, sudden change in delivery cost initially, then the self collection for certain items always way farther. Their app gets updated without prompting to update. Worse, vouchers don't get auto applied nowadays",1,0,2022-05-25 18:23:14,"""Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you",2022-05-25 19:30:11,most_relevant,com.shopee.sg,1
Dazey Ng,BAD customer service and BAD delivery service. Ignored my delivery instructions several times. What's the use of texting me to ask how I want my parcel to be delivered if he's not gonna follow my instructions anyway?! Useless chat agent doesn't solve the matter because it keeps repeating (delivery guy is the SAME PERSON EVERYTIME!) deleting this app. I had better shopping experience with Qoo10 anyway,1,5,2022-03-18 19:34:30,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you",2022-03-18 21:33:02,most_relevant,com.shopee.sg,1
prix sgp,"Very pathetic customer service experience and I could not avail 10% cashback coz of the glitch in their app and they did not even consider that for first time purchase of >250 sgd upon requesting to customer care; will never recommend to any and will delete my account as well. Not just the customer service, even the app itself is such a scam, crashes often. Do yourself a favour and use other apps lazada, zalroa, the list is even more!",1,3,2020-06-09 17:53:26,"""Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect. As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you",2020-06-09 19:35:39,most_relevant,com.shopee.sg,1
N B,"!!!VERY POOR return policy compared to other online shopping portal, where you raise a concern when a purchased product is not good and want a return/refund for the product then then the seller has an option to raise a dispute where buyer needs to provide too many info which makes it hectic compared to other apps like Lazada, Amazon or Qoo10. Also favours to sellers even if the delivered product quality is bad.",1,0,2020-07-21 18:13:44,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect. As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you",2020-07-22 09:02:56,most_relevant,com.shopee.sg,1
Jason Lee,Poor payment system and caused me unable to make any payments during black Friday. 😡😡😡,1,1,2022-11-27 08:29:49,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.

",2022-11-27 09:19:22,most_relevant,com.shopee.sg,1
pochisuu,"i've been using shopee for awhile now and so far the experience was great until i checked in on it today. I recently bought two items, coming from mainland china, a mic and a huion tablet (worth $400) and everytime i refresh, even after updating, the status keeps stating that the order has been cancelled due to it not being an inbound order?? i'm not sure if it's just me but this is leaving me wary and anxious as i've already paid for my items. one of which was supposed mailed to my p.o box 🙄",1,30,2020-12-08 06:42:02,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect. At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.",2020-12-08 08:02:12,most_relevant,com.shopee.sg,1
Ho Wai Kiat,"Very poor experience and customer helpdesk service. Very rude staff and my issue did not get resolved. When the shop i bought from sent me my package with missing items, shopee failed to handle the matter professionally and as a result, people who purchase using this app gets robbed of their money and unscrupulous sellers get away with shortchanging us. Be careful when using shopee as they will not help the buyers when they are facing issues or shortchanged but instead side with the sellers.",1,6,2021-05-11 18:15:17,,,most_relevant,com.shopee.sg,1
Jing Ying,"worst experience. so I ordered something, and the page where you can track the parcel status stated that it has been delivered yesterday, which CLEARLY is not the case. I've even checked everywhere outside my house where it could probably have been but NO there wasn't any. so I took this matter and chat with the live agent and what their solution was to request for a refund in which I did, HOWEVER it got rejected this clearly shows how poor they're at handling stuff, they didn't even try",1,19,2021-08-18 16:55:41,,,most_relevant,com.shopee.sg,1
Bernard Yeo,"Very bad service. Did not receive my item on time and when contact the seller, he unprofessionally ask me check myself with the local courier and same for the customer service, told need to check with other department and ask me to wait 3 workings days. This is not 1st time they never update delivery status properly especially for standard express. Really poor and unprofessional service",1,7,2021-12-10 14:08:50,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you",2021-12-10 14:29:17,most_relevant,com.shopee.sg,1
Yt Crypt,"I love this app. But since they engaging Shopee express, I think I will stop buying from this platform. Delivery man rude. Why they didn't take pictures unit no, parcel etc before recipient open the door?After recipient open the door delivery man take pictures everything including the person who receive it? That's so annoying and damn rude. Waiting damn long. Parcel came torn and damaged. No privacy for buyer.Theres information the product name and price on package. Cringey.",1,0,2020-10-06 15:23:18,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect. As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2020-10-06 16:23:24,most_relevant,com.shopee.sg,1
A Google user,Inconsiderate customer service. They suddenly changed the minimum spending (in fine print) from $25 to $35 and refused to refund me even though there are no terms and conditions saying that it is non-refundable.,1,0,2019-08-11 16:55:10,,,most_relevant,com.shopee.sg,1
A Google user,I have encountered several dubious shady sellers since I started on Shopee about 1+ months ago. These sellers give Shopee a bad name. 1st seller sent me a message claiming the item is out of stock but I noticed it is still available but at a higher price! 2nd seller also claim another product is out of stock but the item continues to be put up for sale on Shopee. Also 'big thick bath towel' turned out to be only a small thin face towel. Many of Shopee's sellers are unreliable.,1,0,2019-12-13 20:42:05,"Hi

We are so sorry that you have had to come through challenges while using our app. 
As we would like to look into your feedback further, we really appreciate if you could fill up this form at https://help.shopee.sg/sg/s/contactus so that besides improving our service, we will be able to make you happy too!",2019-12-14 00:07:26,most_relevant,com.shopee.sg,1
